見出し	原形	品詞

あなた	あなた	名詞
の	の	助詞
こと	こと	名詞
が	が	助詞
好きな	好きだ	形容詞
のに	のだ	助動詞

私	私	名詞
に	に	助詞
まるで	まるで	副詞
興味	興味	名詞
ない	ない	形容詞

何度	何度	名詞
目	目	接尾辞
か	か	助詞
の	の	助詞
失恋	失恋	名詞
の	の	助詞
準備	準備	名詞

Yeah	Yeah	未定義語
！	！	特殊
	\	
Yeah	Yeah	未定義語
！	！	特殊
	\	
Yeah	Yeah	未定義語
！	！	特殊


まわり	まわる	動詞
を	を	助詞
見れば	見る	動詞
大勢	大勢	名詞
の	の	助詞

可愛い	可愛い	形容詞
コ	コ	未定義語
たち	たち	接尾辞
が	が	助詞
いる	いる	動詞
んだ	んだ	助動詞
もん	もん	名詞

地味な	地味だ	形容詞
花	花	名詞
は	は	助詞
気づいて	気づく	動詞
くれ	くれる	接尾辞
ない	ない	接尾辞

Yeah	Yeah	未定義語
！	！	特殊
	\	
Yeah	Yeah	未定義語
！	！	特殊
	\	
Yeah	Yeah	未定義語
！	！	特殊


カフェテリア	カフェテリア	名詞
流れる	流れる	動詞
Music	Music	未定義語

ぼんやり	ぼんやり	副詞
聴いて	聴く	動詞
いたら	いる	接尾辞

知ら	知る	動詞
ぬ	ぬ	助動詞
間	間	名詞
に	に	助詞
リズム	リズム	名詞
に	に	助詞
合わせ	合わす	動詞

つま先	つま先	名詞
から	から	助詞
動き	動く	動詞
出す	出す	動詞

止め	止める	動詞
られ	られる	接尾辞
ない	ない	接尾辞
今	今	名詞
の	の	助詞
気持ち	気持ち	名詞

カモン	カモン	未定義語
	\	
カモン	カモン	未定義語
	\	
カモン	カモン	未定義語
	\	
カモン	カモン	未定義語
	\	
ベイビー	ベイビー	名詞

占って	占う	動詞
よ	る	接尾辞


恋する	恋する	動詞
フォーチュン	フォーチュン	名詞
クッキー	クッキー	名詞
！	！	特殊

未来	未来	名詞
は	は	助詞
	\	
そんな	そんな	指示詞
悪く	悪い	形容詞
ない	ない	接尾辞
よ	よ	助詞

Hey	Hey	未定義語
！	！	特殊
	\	
Hey	Hey	未定義語
！	！	特殊
	\	
Hey	Hey	未定義語
！	！	特殊

ツキ	ツキ	未定義語
を	を	助詞
呼ぶ	呼ぶ	動詞
に	に	助詞
は	は	助詞
	\	
笑顔	笑顔	名詞
を	を	助詞
見せる	見せる	動詞
こと	こと	名詞

ハート	ハート	名詞
の	の	助詞
フォーチュン	フォーチュン	名詞
クッキー	クッキー	名詞

運勢	運勢	名詞
	\	
今日	今日	名詞
より	より	助詞
も	も	助詞
よく	よい	形容詞
しよう	する	接尾辞

Hey	Hey	未定義語
！	！	特殊
	\	
Hey	Hey	未定義語
！	！	特殊
	\	
Hey	Hey	未定義語
！	！	特殊

Hey	Hey	未定義語
！	！	特殊
	\	
Hey	Hey	未定義語
！	！	特殊
	\	
Hey	Hey	未定義語
！	！	特殊

人生	人生	名詞
捨てた	捨てる	動詞
もん	もん	名詞
じゃ	だ	判定詞
ない	ない	接尾辞
よ	よ	助詞
