見出し	原形	品詞

シャングリラ	シャングリラ	名詞
　	　	特殊
よみがえれ	よみがえれる	動詞
　	　	特殊
光	光	名詞
と	と	助詞
命	命	名詞
の	の	助詞
ユートピア	ユートピア	名詞

シャングリラ	シャングリラ	名詞
　	　	特殊
輝いて	輝く	動詞
　	　	特殊
奇跡	奇跡	名詞
の	の	助詞
風	風	名詞
が	が	助詞
吹く	吹く	動詞
島	島	名詞
へ	へ	助詞


絶望	絶望	名詞
した	する	動詞
哀し	哀しい	形容詞
み	み	接尾辞
が	が	助詞
　	　	特殊
死	死	名詞
神	神	名詞
と	と	助詞
まだ	まだ	副詞
遊んで	遊ぶ	動詞
る	る	接尾辞

生きる	生きる	動詞
意味	意味	名詞
を	を	助詞
見失って	見失う	動詞
　	　	特殊
「	「	特殊
もう	もう	副詞
死に	死ぬ	動詞
たい	たい	接尾辞
」	」	特殊
って	って	助詞
泣いて	泣く	動詞
た	る	接尾辞


愛する	愛する	動詞
もの	もの	名詞
奪わ	奪う	動詞
れて	れる	接尾辞
も	も	助詞
　	　	特殊
希望	希望	名詞
や	や	助詞
夢	夢	名詞
壊れて	壊れる	動詞
も	も	助詞

それ	それ	指示詞
でも	でも	助詞
今	今	名詞
君	君	接尾辞
は	は	助詞
生きて	生きる	動詞
る	る	接尾辞
　	　	特殊
わかる	わかる	動詞
かい	かう	動詞
?	?	未定義語


シャングリラ	シャングリラ	名詞
　	　	特殊
歩き	歩く	動詞
出そう	出す	動詞
　	　	特殊
傷み	傷む	動詞
を	を	助詞
恐れちゃ	恐れる	動詞
いけない	いけない	形容詞

シャングリラ	シャングリラ	名詞
　	　	特殊
聞こえる	聞こえる	動詞
かい	かう	動詞
　	　	特殊
傷み	傷む	動詞
から	から	助詞
逃げちゃ	逃げる	動詞
いけない	いけない	形容詞

気づいた	気づく	動詞
ん	ん	名詞
だ	だ	名詞
　	　	特殊
シャングリラ	シャングリラ	名詞
　	　	特殊
傷み	傷む	動詞
に	に	助詞
慣れる	慣れる	動詞
ので	のだ	助動詞
は	は	助詞
なく	ない	接尾辞

大事な	大事だ	形容詞
の	の	名詞
は	は	助詞
　	　	特殊
シャングリラ	シャングリラ	名詞
　	　	特殊
その	その	指示詞
傷	傷	名詞
を	を	助詞
忘れ	忘れる	動詞
ない	ない	接尾辞
事	事	名詞


幼	幼い	形容詞
すぎる	すぎる	接尾辞
灯	灯	名詞
が	が	助詞
　	　	特殊
指先	指先	名詞
に	に	助詞
触れて	触れる	動詞
消えた	消える	動詞

力いっぱい	力いっぱい	副詞
輝いて	輝く	動詞
　	　	特殊
「	「	特殊
まだ	まだ	副詞
生き	生きる	動詞
たい	たい	接尾辞
」	」	特殊
って	って	助詞
泣いて	泣く	動詞
た	る	接尾辞


唄	唄	名詞
で	で	助詞
世界	世界	名詞
は	は	助詞
変え	変える	動詞
られ	られる	接尾辞
ない	ない	接尾辞
　	　	特殊
唄	唄	名詞
で	で	助詞
世界	世界	名詞
は	は	助詞
救え	救える	動詞
ない	ない	接尾辞

でも	でも	接続詞
君	君	名詞
が	が	助詞
笑顔	笑顔	名詞
に	に	助詞
なる	なる	動詞
なら	なら	助詞
　	　	特殊
唄い	唄う	動詞
たい	たい	接尾辞


シャングリラ	シャングリラ	名詞
　	　	特殊
いら	いる	動詞
ない	ない	接尾辞
よ	よ	助詞
　	　	特殊
ひと	ひと	接頭辞
時	時	名詞
の	の	助詞
憐れみ	憐れむ	動詞
や	や	助詞
偽善	偽善	名詞

シャングリラ	シャングリラ	名詞
　	　	特殊
目	目	接尾辞
を	を	助詞
閉じて	閉じる	動詞
　	　	特殊
願い	願う	動詞
は	は	助詞
空	空	名詞
に	に	助詞
愛	愛	名詞
は	は	助詞
手	手	名詞
に	に	助詞


シャングリラ	シャングリラ	名詞
　	　	特殊
抱きしめて	抱きしめる	動詞
　	　	特殊
鳥	鳥	名詞
と	と	助詞
共に	共に	副詞
緑	緑	名詞
を	を	助詞
唄い	唄う	動詞

シャングリラ	シャングリラ	名詞
　	　	特殊
そば	そば	名詞
に	に	助詞
いて	いる	動詞
　	　	特殊
空	空	名詞
を	を	助詞
青く	青い	形容詞
染める	染める	動詞
朝	朝	名詞
に	に	助詞


シャングリラ	シャングリラ	名詞
　	　	特殊
よみがえれ	よみがえれる	動詞
　	　	特殊
光	光	名詞
と	と	助詞
命	命	名詞
の	の	助詞
ユートピア	ユートピア	名詞

シャングリラ	シャングリラ	名詞
　	　	特殊
輝いて	輝く	動詞
　	　	特殊
奇跡	奇跡	名詞
の	の	助詞
風	風	名詞
が	が	助詞
吹く	吹く	動詞
島	島	名詞
へ	へ	助詞

空	空	名詞
高く	高い	形容詞
舞	舞	名詞
え	える	動詞
　	　	特殊
シャングリラ	シャングリラ	名詞
　	　	特殊
今	今	名詞
こそ	こそ	助詞
一	一	名詞
つ	つ	接尾辞
に	に	助詞
なる	なる	動詞
時	時	名詞

風	風	名詞
に	に	助詞
のって	のる	動詞
　	　	特殊
シャングリラ	シャングリラ	名詞
　	　	特殊
僕	僕	名詞
達	達	接尾辞
は	は	助詞
そう	そう	指示詞
一	一	名詞
人	人	接尾辞
じゃ	だ	判定詞
ない	ない	接尾辞

君	君	名詞
と	と	助詞
手	手	名詞
を	を	助詞
取り	取る	動詞
合えば	合う	動詞
　	　	特殊
今	今	名詞
、	、	特殊
ここ	ここ	指示詞
が	が	助詞
シャングリラ	シャングリラ	名詞
に	に	助詞
なる	なる	動詞


