見出し	原形	品詞

開いた	開く	動詞
ばかりの	ばかりだ	助動詞
花	花	名詞
が	が	助詞
散る	散る	動詞
の	の	名詞
を	を	助詞

「	「	特殊
今年	今年	名詞
も	も	助詞
早い	早い	形容詞
ね	ね	助詞
」	」	特殊
と	と	助詞

残念	残念だ	形容詞
そうに	そうだ	接尾辞
見て	見る	動詞
いた	いる	接尾辞
あなた	あなた	名詞
は	は	助詞

とても	とても	副詞
きれいだった	きれいだ	形容詞


もし	もし	副詞
今	今	名詞
の	の	助詞
私	私	名詞
を	を	助詞
見	見る	動詞
れた	れる	接尾辞
なら	なら	助詞

どう	どう	指示詞
思う	思う	動詞
でしょう	だろう	助動詞

あなた	あなた	名詞
なし	なし	名詞
で	で	助詞
生きて	生きる	動詞
る	る	接尾辞
私	私	名詞
を	を	助詞


Everybody	Everybody	未定義語
	\	
finds	finds	未定義語
	\	
love	love	未定義語

In	In	未定義語
	\	
the	the	未定義語
	\	
end	end	未定義語


あなた	あなた	名詞
が	が	助詞
守った	守る	動詞
街	街	名詞
の	の	助詞
どこ	どこ	指示詞
か	か	助詞
で	で	助詞
今日	今日	名詞
も	も	助詞
響く	響く	動詞

健やかな	健やかだ	形容詞
産声	産声	名詞
を	を	助詞
聞けた	聞ける	動詞
なら	なら	助詞

きっと	きっと	副詞
喜ぶ	喜ぶ	動詞
でしょう	だろう	助動詞

私	私	名詞
たち	たち	接尾辞
の	の	助詞
続き	続く	動詞
の	の	助詞
足音	足音	名詞


Everybody	Everybody	未定義語
	\	
finds	finds	未定義語
	\	
love	love	未定義語

In	In	未定義語
	\	
the	the	未定義語
	\	
end	end	未定義語


もう	もう	副詞
二度と	二度と	副詞
会え	会える	動詞
ない	ない	接尾辞
なんて	なんて	助詞
信じ	信じる	動詞
られ	られる	接尾辞
ない	ない	接尾辞

まだ	まだ	副詞
何も	何も	副詞
伝えて	伝える	動詞
い	いる	接尾辞
ない	ない	接尾辞

まだ	まだ	副詞
何も	何も	副詞
伝えて	伝える	動詞
い	いる	接尾辞
ない	ない	接尾辞


開いた	開く	動詞
ばかりの	ばかりだ	助動詞
花	花	名詞
が	が	助詞
散る	散る	動詞
の	の	名詞
を	を	助詞

見て	見る	動詞
いた	いる	接尾辞
木立	木立	名詞
の	の	助詞
遣る	遣る	動詞
瀬	瀬	名詞
無き	無い	形容詞
かな	かな	名詞


どんなに	どんなに	指示詞
怖く	怖い	形容詞
たって	たつ	動詞
目	目	名詞
を	を	助詞
逸らさ	逸らす	動詞
ない	ない	接尾辞
よ	よ	助詞

全て	全て	副詞
の	の	助詞
終わり	終わる	動詞
に	に	助詞
愛	愛	名詞
が	が	助詞
ある	ある	動詞
なら	なら	助詞


